,AP,Nationality_codes,Gender_codes,Discipline_codes,experience_dive,experience_discipline,Points
7,0.08233186860457135,0.06774659126288553,0.7485672628484212,0.38822813144828233,-0.5331099021599689,-0.2798221059966489,-1.645287976356245
10,0.7209722836104259,0.16663943960954727,0.7485672628484212,-0.522575840646641,-0.5331099021599689,-0.4195199544315295,-1.645287976356245
11,0.7209722836104259,0.16663943960954727,0.7485672628484212,-0.522575840646641,-0.47034448567454695,-0.2798221059966489,-1.645287976356245
24,1.955677085955078,-0.5915390643815261,0.7485672628484212,0.38822813144828233,-0.3448136527037031,-0.5592178028664101,-1.645287976356245
26,2.5943175009609325,-0.5915390643815261,0.7485672628484212,0.38822813144828233,-0.21928281973285932,-0.2798221059966489,-1.645287976356245
45,1.3596126986162804,-0.5915390643815261,0.7485672628484212,-1.4333798127415645,0.973260093490157,0.5583649846126344,-1.645287976356245
53,2.083405168956249,-0.5915390643815261,0.7485672628484212,0.38822813144828233,1.4753834253735323,0.6980628330475149,-1.645287976356245
56,-0.896916767737739,-0.7893247610748496,0.7485672628484212,1.2990321035432058,-0.5958753186453908,-0.5592178028664101,-1.645287976356245
57,-0.896916767737739,-0.7893247610748496,0.7485672628484212,-0.522575840646641,-0.5331099021599689,-0.5592178028664101,-1.645287976356245
72,0.4655161176080841,0.19960372239176785,0.7485672628484212,1.2990321035432058,-0.40757906918912506,-0.0004264091268878232,-1.645287976356245
80,0.508092145275141,0.19960372239176785,0.7485672628484212,-0.522575840646641,0.09454426269425024,-0.4195199544315295,-1.645287976356245
82,0.7209722836104259,0.19960372239176785,0.7485672628484212,1.2990321035432058,0.22007509566509406,0.41866713617775386,-1.645287976356245
83,0.6783962559433689,0.19960372239176785,0.7485672628484212,1.2990321035432058,0.282840512150516,0.5583649846126344,-1.645287976356245
88,0.25263597927279924,0.19960372239176785,0.7485672628484212,-0.522575840646641,-0.40757906918912506,-0.5592178028664101,-1.645287976356245
107,0.6783962559433689,-0.5585747815993055,0.7485672628484212,1.2990321035432058,-0.47034448567454695,-0.2798221059966489,-1.645287976356245
117,-1.0246448507389099,-0.9211818922037319,0.7485672628484212,1.2990321035432058,-0.6586407351308127,-0.5592178028664101,-1.645287976356245
122,0.6783962559433689,-1.613431830630364,0.7485672628484212,1.2990321035432058,-0.47034448567454695,-0.4195199544315295,-1.645287976356245
127,0.593244200609255,-1.613431830630364,0.7485672628484212,1.2990321035432058,-0.1565174032474374,-0.2798221059966489,-1.645287976356245
148,2.040829141289192,-1.613431830630364,0.7485672628484212,-0.522575840646641,0.4083713451213598,0.5583649846126344,-1.645287976356245
149,1.5724928369515654,-1.613431830630364,0.7485672628484212,1.2990321035432058,0.4711367616067817,0.41866713617775386,-1.645287976356245
150,1.5724928369515654,-1.613431830630364,0.7485672628484212,1.2990321035432058,0.5339021780922036,0.5583649846126344,-1.645287976356245
151,-0.08797224206365652,-1.613431830630364,0.7485672628484212,-1.4333798127415645,0.5966675945776255,-0.2798221059966489,-1.645287976356245
156,1.5724928369515654,-1.613431830630364,0.7485672628484212,1.2990321035432058,0.9104946770047351,0.8377606814823956,-1.645287976356245
180,-0.13054826973071348,-0.49264621603486436,0.7485672628484212,1.2990321035432058,-0.47034448567454695,-0.5592178028664101,-1.645287976356245
216,-1.2375249890741946,-1.38268185115482,-1.335885296659696,-1.4333798127415645,-0.40757906918912506,-0.5592178028664101,-1.645287976356245
274,-0.5137325187342262,-0.5915390643815261,0.7485672628484212,-1.4333798127415645,-0.6586407351308127,-0.5592178028664101,-1.645287976356245
315,-0.34342840806599834,1.0237107919472823,-1.335885296659696,-1.4333798127415645,-0.40757906918912506,-0.4195199544315295,-1.645287976356245
337,-0.5988845740683402,0.1336751568273267,-1.335885296659696,1.2990321035432058,-0.5331099021599689,-0.4195199544315295,-1.645287976356245
360,0.3803640622739701,-0.7893247610748496,0.7485672628484212,-1.4333798127415645,-0.3448136527037031,-0.2798221059966489,-1.645287976356245
361,0.039755840937514386,-0.7893247610748496,0.7485672628484212,-1.4333798127415645,-0.28204823621828123,-0.14012425756176838,-1.645287976356245
362,0.25263597927279924,-0.7893247610748496,0.7485672628484212,-1.4333798127415645,-0.21928281973285932,-0.0004264091268878232,-1.645287976356245
363,0.4655161176080841,-0.7893247610748496,0.7485672628484212,-1.4333798127415645,-0.1565174032474374,0.13927143930799274,-1.645287976356245
369,0.3803640622739701,1.6170678820272528,0.7485672628484212,1.2990321035432058,-0.3448136527037031,0.13927143930799274,-1.645287976356245
373,0.6783962559433689,1.6170678820272528,0.7485672628484212,1.2990321035432058,-0.09375198676201549,0.5583649846126344,-1.645287976356245
378,-0.5137325187342262,-0.7893247610748496,0.7485672628484212,1.2990321035432058,-0.5331099021599689,-0.2798221059966489,-1.645287976356245
385,0.4655161176080841,-0.7893247610748496,0.7485672628484212,1.2990321035432058,-0.5958753186453908,-0.4195199544315295,-1.645287976356245
399,-0.3860044357330553,0.1336751568273267,-1.335885296659696,0.38822813144828233,-0.5331099021599689,-0.2798221059966489,-1.645287976356245
412,-0.9394927954047959,0.03478230848066494,-1.335885296659696,-1.4333798127415645,-0.6586407351308127,-0.5592178028664101,-1.645287976356245
428,1.6150688646186222,-1.2837890028081584,0.7485672628484212,0.38822813144828233,-0.40757906918912506,-0.5592178028664101,-1.645287976356245
436,0.25263597927279924,-1.1519318716792761,-1.335885296659696,-0.522575840646641,-0.5331099021599689,-0.2798221059966489,-1.645287976356245
439,-0.811764712403625,-1.9101103756703495,0.7485672628484212,-0.522575840646641,-0.6586407351308127,-0.5592178028664101,-1.645287976356245
443,-0.08797224206365652,0.03478230848066494,-1.335885296659696,-0.522575840646641,-0.5331099021599689,-0.2798221059966489,-1.645287976356245
470,0.9338524219457107,1.5511393164628118,0.7485672628484212,-0.522575840646641,-0.5958753186453908,-0.4195199544315295,-1.645287976356245
471,1.5299168092845083,1.5511393164628118,0.7485672628484212,-0.522575840646641,-0.5331099021599689,-0.2798221059966489,-1.645287976356245
473,0.9338524219457107,1.5511393164628118,0.7485672628484212,-0.522575840646641,-0.47034448567454695,-0.14012425756176838,-1.645287976356245
500,-0.9394927954047959,0.4633179846495325,0.7485672628484212,-0.522575840646641,-0.5958753186453908,-0.5592178028664101,-1.645287976356245
505,-0.4711564910671692,-1.613431830630364,-1.335885296659696,1.2990321035432058,-0.40757906918912506,-0.4195199544315295,-1.645287976356245
507,0.1674839239386853,-1.613431830630364,-1.335885296659696,-0.522575840646641,-0.28204823621828123,-0.2798221059966489,-1.645287976356245
508,-0.5137325187342262,-1.613431830630364,-1.335885296659696,-1.4333798127415645,-0.21928281973285932,-0.4195199544315295,-1.645287976356245
529,-2.3019256807506188,0.9907465091650618,0.7485672628484212,-1.4333798127415645,-0.09375198676201549,-0.4195199544315295,-1.645287976356245
541,-0.045396214396599556,0.5951751157784149,-1.335885296659696,-0.522575840646641,-0.3448136527037031,-0.0004264091268878232,-1.645287976356245
542,-0.13054826973071348,0.5951751157784149,-1.335885296659696,-0.522575840646641,-0.28204823621828123,0.13927143930799274,-1.645287976356245
543,-0.08797224206365652,0.5951751157784149,-1.335885296659696,-0.522575840646641,-0.21928281973285932,0.2789692877428733,-1.645287976356245
545,-0.0028201867295425827,0.5951751157784149,-1.335885296659696,-0.522575840646641,-0.09375198676201549,0.5583649846126344,-1.645287976356245
557,0.25263597927279924,0.5951751157784149,-1.335885296659696,1.2990321035432058,0.6594330110630474,-0.0004264091268878232,-1.645287976356245
569,-0.4285804634001123,0.5951751157784149,-1.335885296659696,-1.4333798127415645,1.4126180088881104,-0.2798221059966489,-1.645287976356245
582,0.25263597927279924,-1.6793603961948054,0.7485672628484212,-1.4333798127415645,-0.40757906918912506,-0.4195199544315295,-1.645287976356245
584,-1.2375249890741946,0.5951751157784149,0.7485672628484212,-1.4333798127415645,-0.5958753186453908,-0.5592178028664101,-1.645287976356245
611,-0.21570032506482742,0.5951751157784149,0.7485672628484212,-0.522575840646641,-0.40757906918912506,-0.14012425756176838,-1.645287976356245
613,-0.4711564910671692,0.5951751157784149,0.7485672628484212,1.2990321035432058,-0.28204823621828123,-0.4195199544315295,-1.645287976356245
617,0.3377880346069132,0.5951751157784149,0.7485672628484212,-0.522575840646641,-0.030986570276593572,0.41866713617775386,-1.645287976356245
625,0.3803640622739701,0.5951751157784149,0.7485672628484212,-1.4333798127415645,0.4711367616067817,-0.2798221059966489,-1.645287976356245
635,1.6150688646186222,0.5951751157784149,0.7485672628484212,-0.522575840646641,1.0987909264610007,1.3965520752219178,-1.9055053140352003
641,1.998253113622135,0.5951751157784149,0.7485672628484212,-0.522575840646641,1.4753834253735323,1.8156456205265596,-1.645287976356245
650,1.8279490029539072,0.5951751157784149,0.7485672628484212,-0.522575840646641,2.0402721737423297,2.2347391658312015,-1.645287976356245
658,0.3803640622739701,0.5951751157784149,0.7485672628484212,-1.4333798127415645,2.542395505625705,0.5583649846126344,-1.645287976356245
659,1.5299168092845083,0.5951751157784149,0.7485672628484212,1.2990321035432058,2.6051609221111267,2.0950413173963205,-1.645287976356245
676,2.040829141289192,0.5951751157784149,0.7485672628484212,-0.522575840646641,3.6721730023632992,3.631717650180007,-1.645287976356245
685,1.998253113622135,0.5951751157784149,0.7485672628484212,1.2990321035432058,4.237061750732097,3.7714154986148873,-1.645287976356245
690,1.6150688646186222,0.5951751157784149,0.7485672628484212,0.38822813144828233,4.550888833159206,-0.4195199544315295,-1.645287976356245
700,1.6576448922856792,0.5951751157784149,0.7485672628484212,0.38822813144828233,5.178542998013425,0.41866713617775386,-1.645287976356245
707,1.6576448922856792,0.5951751157784149,0.7485672628484212,0.38822813144828233,5.617900913411378,1.2568542267870373,-1.645287976356245
