,Name,Nationality,Nationality_codes,Gender,Gender_codes,Discipline,Discipline_codes,AP,RP,Card,Points,Remarks,Title Event,Event Type,Day,Year,month,experience_dive,experience_discipline
427,Anastasia Postnikova,RUS,77,F,0,CWTB,2,30.0,25.0,YELLOW,19.0,"No tag,rp<ap",AIDA Russian Depth Championship 2021,Depth Competition,2021-07-18,2021,7,2,1
428,Anastasia Postnikova,RUS,77,F,0,CWT,1,35.0,27.0,YELLOW,18.0,"No tag,rp<ap",AIDA Russian Depth Championship 2021,Depth Competition,2021-07-20,2021,7,3,1
429,Anastasia Postnikova,RUS,77,F,0,FIM,3,47.0,42.0,YELLOW,36.0,"Rpap,no tag",Depth World Championship,Depth Competition,2021-09-24,2021,9,4,1
430,Anastasia Postnikova,RUS,77,F,0,CWT,1,48.0,41.0,YELLOW,33.0,"Rpap,no tag",Depth World Championship,Depth Competition,2021-09-28,2021,9,5,2
431,Anastasia Postnikova,RUS,77,F,0,CNF,0,37.0,31.0,RED,0.0,"No tag,rp<ap,dqpull",Depth World Championship,Depth Competition,2021-09-30,2021,9,6,2
432,Anastasia Postnikova,AIN,0,F,0,CWT,1,58.0,52.0,YELLOW,45.0,"No tag,under ap",Aida Freediving World Cup May,Depth Competition,2024-05-16,2024,5,7,3
433,Anastasia Postnikova,AIN,0,F,0,CWT,1,58.0,53.0,YELLOW,47.0,"No tag,under ap",Aida Freediving World Cup May,Depth Competition,2024-05-17,2024,5,8,4
434,Anastasia Postnikova,AIN,0,F,0,CNF,0,42.0,42.0,WHITE,42.0,Ok,Aida Freediving World Cup May,Depth Competition,2024-05-19,2024,5,9,3
435,Anastasia Postnikova,AIN,0,F,0,CNF,0,44.0,33.0,YELLOW,21.0,No tag,Aida Freediving World Cup May,Depth Competition,2024-05-22,2024,5,10,4
436,Anastasia Postnikova,AIN,0,F,0,CNF,0,45.0,35.0,RED,0.0,"No tag,under ap,dqpull",Aida Freediving World Cup May,Depth Competition,2024-05-23,2024,5,11,5
437,Anastasiia Borisova,RUS,77,F,0,CNF,0,21.0,21.0,WHITE,21.0,Ok,AIDA Russian Depth Championship 2021,Depth Competition,2021-07-17,2021,7,1,1
438,Anastasiia Borisova,RUS,77,F,0,CWTB,2,24.0,24.0,WHITE,24.0,Ok,AIDA Russian Depth Championship 2021,Depth Competition,2021-07-18,2021,7,2,1
439,Anastasiia Borisova,RUS,77,F,0,FIM,3,27.0,27.0,WHITE,27.0,Ok,AIDA Russian Depth Championship 2021,Depth Competition,2021-07-19,2021,7,3,1
440,Anastasiia Borisova,RUS,77,F,0,FIM,3,30.0,30.0,WHITE,30.0,Ok,Depth World Championship,Depth Competition,2021-09-24,2021,9,4,2
441,Anastasiia Borisova,RUS,77,F,0,CNF,0,31.0,31.0,WHITE,31.0,Ok,Depth World Championship,Depth Competition,2021-09-27,2021,9,5,2
442,Anastasiia Stupina,RUS,77,F,0,FIM,3,35.0,35.0,WHITE,35.0,Ok,Freedom Depth Games 2021 AIDA,Depth Competition,2021-10-10,2021,10,1,1
443,Anastasiia Stupina,RUS,77,F,0,CWTB,2,35.0,35.0,WHITE,35.0,Ok,Freedom Depth Games 2021 AIDA,Depth Competition,2021-10-11,2021,10,2,1
444,Anastasiya Kobrin,RUS,77,F,0,FIM,3,33.0,33.0,RED,0.0,Dqairways,Cherekel Challenge AIDA,Depth Competition,2021-06-12,2021,6,1,1
445,Anastasiya Kobrin,RUS,77,F,0,CWTB,2,35.0,35.0,WHITE,35.0,Ok,Cherekel Challenge AIDA,Depth Competition,2021-06-13,2021,6,2,1
446,Anastasiya Kobrin,RUS,77,F,0,CWT,1,38.0,38.0,WHITE,38.0,Ok,Cherekel Challenge AIDA,Depth Competition,2021-06-14,2021,6,3,1
447,Anastasiya Kobrin,RUS,77,F,0,CWTB,2,35.0,35.0,WHITE,35.0,Ok,AIDA Russian Depth Championship 2021,Depth Competition,2021-07-18,2021,7,4,2
448,Anastasiya Kobrin,RUS,77,F,0,FIM,3,38.0,31.0,YELLOW,23.0,"No tag,rp<ap",AIDA Russian Depth Championship 2021,Depth Competition,2021-07-19,2021,7,5,2
449,Anastasiya Kobrin,RUS,77,F,0,CWT,1,40.0,30.0,YELLOW,19.0,"No tag,rp<ap",AIDA Russian Depth Championship 2021,Depth Competition,2021-07-20,2021,7,6,2
450,Anastasiya Kobrin,AIN,0,F,0,CWTB,2,40.0,40.0,WHITE,40.0,Ok,Depth World Championship,Depth Competition,2023-09-23,2023,9,7,3
451,Anastasiya Kobrin,AIN,0,F,0,FIM,3,40.0,40.0,WHITE,40.0,Ok,Depth World Championship,Depth Competition,2023-09-26,2023,9,8,3
452,Anastasiya Kobrin,AIN,0,F,0,CWT,1,49.0,5.0,YELLOW,0.0,"UNDER AP,no tag",Depth World Championship,Depth Competition,2023-09-28,2023,9,9,3
453,Anastasiya Somova,RUS,77,F,0,CNF,0,25.0,25.0,WHITE,25.0,Ok,Cherekel Challenge AIDA,Depth Competition,2021-06-11,2021,6,1,1
454,Anastasiya Somova,RUS,77,F,0,FIM,3,35.0,35.0,WHITE,35.0,Ok,Cherekel Challenge AIDA,Depth Competition,2021-06-12,2021,6,2,1
455,Anastasiya Somova,RUS,77,F,0,CWTB,2,36.0,36.0,WHITE,36.0,Ok,Cherekel Challenge AIDA,Depth Competition,2021-06-13,2021,6,3,1
456,Anastasiya Somova,RUS,77,F,0,CWT,1,37.0,37.0,WHITE,37.0,Ok,Cherekel Challenge AIDA,Depth Competition,2021-06-14,2021,6,4,1
457,Anatolii Zaitsev,RUS,77,M,1,CNF,0,36.0,36.0,WHITE,36.0,Ok,AIDA Russian Depth Championship 2021,Depth Competition,2021-07-17,2021,7,1,1
458,Anatolii Zaitsev,RUS,77,M,1,CWTB,2,42.0,42.0,WHITE,42.0,Ok,AIDA Russian Depth Championship 2021,Depth Competition,2021-07-18,2021,7,2,1
459,Anatolii Zaitsev,RUS,77,M,1,FIM,3,43.0,43.0,WHITE,43.0,Ok,AIDA Russian Depth Championship 2021,Depth Competition,2021-07-19,2021,7,3,1
460,Anatolii Zaitsev,RUS,77,M,1,CWT,1,50.0,43.0,YELLOW,35.0,"No tag,rp<ap",AIDA Russian Depth Championship 2021,Depth Competition,2021-07-20,2021,7,4,1
461,Anatoly Zakharov,RUS,77,M,1,CNF,0,45.0,45.0,WHITE,45.0,Ok,Freedom Depth Games 2021 AIDA,Depth Competition,2021-10-07,2021,10,1,1
462,Anatoly Zakharov,RUS,77,M,1,CWTB,2,61.0,42.0,RED,0.0,"Rpap,no tag,dqpull",Freedom Depth Games 2021 AIDA,Depth Competition,2021-10-10,2021,10,2,1
463,Anatoly Zakharov,RUS,77,M,1,FIM,3,64.0,64.0,WHITE,64.0,Ok,Freedom Depth Games 2021 AIDA,Depth Competition,2021-10-12,2021,10,3,1
464,Anatoly Zakharov,RUS,77,M,1,CNF,0,48.0,48.0,WHITE,48.0,Ok,Freedom Depth Games 2021 AIDA,Depth Competition,2021-10-16,2021,10,4,2
465,Anderson Chak Nam Lei,CHN,17,M,1,CWTB,2,52.0,52.0,WHITE,52.0,Ok,AIDA OCEANQUEST PHILIPPINES,Depth Competition,2023-05-24,2023,5,1,1
466,Anderson Chak Nam Lei,CHN,17,M,1,FIM,3,55.0,55.0,WHITE,55.0,Ok,AIDA OCEANQUEST PHILIPPINES,Depth Competition,2023-05-26,2023,5,2,1
